date,prcp,srad,tmax,tmin,vp,wl,q
2019-02-23,5.23056780151942,333.8900051739833,2.4175303533898003,-12.74928094710278,229.5852225617576,3.484,2.41
2019-02-24,10.267107532561225,247.44591857277356,4.263446118418774,-3.8711965162618913,458.7517700961032,3.485,2.55
2019-02-25,4.242904767883799,104.92501870501,-7.450989942515325,-10.277628968918751,279.7298763253325,3.586,3.66
2019-02-26,1.0911531444144984,236.49979504571888,-10.36778479961449,-15.49124708954891,183.1839027466281,3.802,7.66
2019-02-27,6.717962878722419,209.4142936777957,-11.00892725970928,-16.760025427196396,164.71102175729948,3.867,11.1
2019-02-28,0.0,498.2338509784289,-6.738121427292636,-27.086556996123843,66.24100505332427,3.972,10.1
2019-03-01,0.0,495.3959536595575,-1.146261699710601,-19.831009597339424,126.75532241678458,3.902,8.2
2019-03-02,3.5884764722933467,260.14500853895095,-2.0083766234041938,-9.963117325777077,286.8290530962059,3.833,6.84
2019-03-03,1.937842306974757,334.155207444626,-3.108782105522113,-11.467848933914713,254.41535184030047,3.78,5.93
2019-03-04,1.5634477467557537,377.1583541346416,-11.496245776949856,-20.49687260334156,119.63944050188314,3.735,5.28
2019-03-05,3.6943933264389694,274.78274175353323,-11.38527197752282,-18.61030785463405,140.7724114395712,3.797,4.77
2019-03-06,2.190790370634786,339.9449509918721,-11.454115054567716,-19.254067921613693,133.22266959281131,3.865,4.37
2019-03-07,0.0,476.54549891034975,-9.0085374206537,-20.796195816720942,116.5606190326867,3.857,4.15
2019-03-08,0.0,532.6946300272513,-2.452736930219041,-20.610630627082667,118.45719646254504,3.82,4.29
2019-03-09,9.18419748261703,402.4868762864836,1.9988898810043805,-16.23190423886848,173.22562338124322,3.786,4.61
2019-03-10,4.000743110498848,252.14336068733144,2.8800007073723037,-4.154473355396984,449.1816986236729,3.797,5.18
2019-03-11,2.5814241408488123,107.98300776151837,-1.141920175672244,-3.537600303375032,470.6917863515537,3.812,5.9
2019-03-12,0.0,357.5263297883908,0.2132282244234922,-7.072351526426763,359.6479527590987,3.795,6.24
2019-03-13,0.7169106841335308,407.5404796322621,3.644832949432555,-5.716531079586016,399.0037206107234,3.831,7.34
2019-03-14,14.684449562311052,350.8063198579581,10.02033723383228,-1.252810839523509,557.513738361424,3.873,13.5
2019-03-15,5.755044329249326,226.48542240001996,5.095460482078859,-0.9063364527714692,571.6571373116767,4.82,91.5
2019-03-16,3.606311103287024,161.5571763755256,-2.022949427139988,-5.950793017519064,391.8644549174911,4.566,76.9
2019-03-17,0.0,482.9267017168113,-0.436664650324118,-11.315876360238374,257.95405496447523,4.274,46.3
2019-03-18,0.9813966450119204,421.3765687467405,-0.1710552519407207,-9.099705906312298,307.0424423082881,4.107,32.4
